patient_id,dose,viability,log_dose
ACH-000219,1.0,0.0771307806827628,0.0
ACH-000219,0.25,0.075706080430566,-1.3862943611198906
ACH-000219,0.0625,0.1244118931662666,-2.772588722239781
ACH-000219,0.015625,0.0956609010515242,-4.1588830833596715
ACH-000219,0.00390625,0.1516750653973859,-5.545177444479562
ACH-000552,1.0,0.3421531426882807,0.0
ACH-000552,0.25,0.3473654138458419,-1.3862943611198906
ACH-000552,0.0625,0.4005833939807385,-2.772588722239781
ACH-000552,0.015625,0.4547281398196454,-4.1588830833596715
ACH-000552,0.00390625,0.640741459718858,-5.545177444479562
ACH-000219,1.0,0.1801136277726537,0.0
ACH-000219,0.25,0.2083640775965042,-1.3862943611198906
ACH-000219,0.0625,0.1745433720912651,-2.772588722239781
ACH-000219,0.015625,0.1852212074935361,-4.1588830833596715
ACH-000219,0.00390625,0.2431055989839273,-5.545177444479562
ACH-000580,1.0,0.1532053379075849,0.0
ACH-000580,0.25,0.1945973432502385,-1.3862943611198906
ACH-000580,0.0625,0.2107961604762284,-2.772588722239781
ACH-000580,0.015625,0.2300541214877391,-4.1588830833596715
ACH-000580,0.00390625,0.2932262542608171,-5.545177444479562
ACH-000580,1.0,0.1109245847936972,0.0
ACH-000580,0.25,0.1342294219729986,-1.3862943611198906
ACH-000580,0.0625,0.1557193904498377,-2.772588722239781
ACH-000580,0.015625,0.1768127319917015,-4.1588830833596715
ACH-000580,0.00390625,0.2059427768826592,-5.545177444479562
ACH-000552,1.0,0.3278761952664982,0.0
ACH-000552,0.25,0.3450877360038863,-1.3862943611198906
ACH-000552,0.0625,0.3425593105509972,-2.772588722239781
ACH-000552,0.015625,0.3957374846338083,-4.1588830833596715
ACH-000552,0.00390625,0.5437272387614621,-5.545177444479562
ACH-000219,1.0,0.1464956942344516,0.0
ACH-000219,0.25,0.1202466160596009,-1.3862943611198906
ACH-000219,0.0625,0.1440567418551925,-2.772588722239781
ACH-000219,0.015625,0.1384741638570811,-4.1588830833596715
ACH-000219,0.00390625,0.1763581801878835,-5.545177444479562
ACH-000580,1.0,0.0901471601326204,0.0
ACH-000580,0.25,0.0959149974749415,-1.3862943611198906
ACH-000580,0.0625,0.1003901146705896,-2.772588722239781
ACH-000580,0.015625,0.1058203626752445,-4.1588830833596715
ACH-000580,0.00390625,0.1221111066892092,-5.545177444479562
ACH-000552,1.0,0.3816642402965142,0.0
ACH-000552,0.25,0.3859103478007072,-1.3862943611198906
ACH-000552,0.0625,0.4455181916269476,-2.772588722239781
ACH-000552,0.015625,0.5117081345733919,-4.1588830833596715
ACH-000552,0.00390625,0.6193534955212991,-5.545177444479562
ACH-000750,1.0,0.0524359925332025,0.0
ACH-000750,0.25,0.1112937474912098,-1.3862943611198906
ACH-000750,0.0625,0.3161668488410927,-2.772588722239781
ACH-000750,0.015625,0.3905605360529947,-4.1588830833596715
ACH-000750,0.00390625,0.4463455498789629,-5.545177444479562
ACH-001345,1.0,0.6135015387044016,0.0
ACH-001345,0.25,0.713458567386655,-1.3862943611198906
ACH-001345,0.0625,0.7155530447354498,-2.772588722239781
ACH-001345,0.015625,0.7236673826203835,-4.1588830833596715
ACH-001345,0.00390625,0.7662010589020661,-5.545177444479562
ACH-002140,1.0,0.1788899611160731,0.0
ACH-002140,0.25,0.2001170396568155,-1.3862943611198906
ACH-002140,0.0625,0.183885596859297,-2.772588722239781
ACH-002140,0.015625,0.3217741400149371,-4.1588830833596715
ACH-002140,0.00390625,0.4913908429484518,-5.545177444479562
ACH-001307,1.0,0.5048009916786604,0.0
ACH-001307,0.25,0.4428709596062634,-1.3862943611198906
ACH-001307,0.0625,0.4174677904819722,-2.772588722239781
ACH-001307,0.015625,0.4490924403995724,-4.1588830833596715
ACH-001307,0.00390625,0.6136057115963951,-5.545177444479562
ACH-001704,1.0,0.816215161062515,0.0
ACH-001704,0.25,0.7960070430687483,-1.3862943611198906
ACH-001704,0.0625,0.9037206919756,-2.772588722239781
ACH-001704,0.015625,0.9146449274571432,-4.1588830833596715
ACH-001704,0.00390625,0.8753709267833247,-5.545177444479562
ACH-000935,1.0,0.0850042350003674,0.0
ACH-000935,0.25,0.2265120527700905,-1.3862943611198906
ACH-000935,0.0625,0.2630193709635454,-2.772588722239781
ACH-000935,0.015625,0.2640152779927496,-4.1588830833596715
ACH-000935,0.00390625,0.2689688490821435,-5.545177444479562
ACH-000863,1.0,0.535735983707379,0.0
ACH-000863,0.25,0.5731728981558487,-1.3862943611198906
ACH-000863,0.0625,0.5404901954812459,-2.772588722239781
ACH-000863,0.015625,0.5616218056909523,-4.1588830833596715
ACH-000863,0.00390625,0.6347493529253764,-5.545177444479562
ACH-000986,1.0,0.6452148284891008,0.0
ACH-000986,0.25,0.4607436649369718,-1.3862943611198906
ACH-000986,0.0625,0.9436123298137156,-2.772588722239781
ACH-000986,0.015625,1.0,-4.1588830833596715
ACH-000986,0.00390625,0.7704216313952709,-5.545177444479562
ACH-000644,1.0,0.3818792815578555,0.0
ACH-000644,0.25,0.3970040641021405,-1.3862943611198906
ACH-000644,0.0625,0.3978822627915993,-2.772588722239781
ACH-000644,0.015625,0.452436145063375,-4.1588830833596715
ACH-000644,0.00390625,0.5132250134270627,-5.545177444479562
ACH-000963,1.0,0.8805414067484665,0.0
ACH-000963,0.25,0.9105433518772812,-1.3862943611198906
ACH-000963,0.0625,0.9602203764273578,-2.772588722239781
ACH-000963,0.015625,1.0,-4.1588830833596715
ACH-000963,0.00390625,1.0,-5.545177444479562
ACH-000957,1.0,0.8063167636657321,0.0
ACH-000957,0.25,0.4275636782737589,-1.3862943611198906
ACH-000957,0.0625,0.8656362097169169,-2.772588722239781
