patient_id,h_slope,ic50_frequentist,min_val,max_val,generic_h_reference
ACH-000219,1.33458171508477,0.00102471621153551,0.110865471433623,0.513837875932535,0.114935290007188
ACH-000552,0.821917114831267,0.000692459258154443,0.232025058216919,0.952275536912822,0.114935290007188
ACH-000580,0.556763522881804,0.000111686566408547,0.112649728318743,1.00799847920061,0.114935290007188
ACH-000750,1.17969019362074,0.0750236517630856,0.0130766183645457,0.36318145359614,0.114935290007188
ACH-001345,1.15177242782349,1.393523059878,0.430496761726537,0.74171213589992,0.114935290007188
ACH-002140,6.85664035551001,0.015099071817079,0.187625080471714,0.491419426432837,0.114935290007188
ACH-001307,4.49070157956676,0.00295762828257154,0.453461811902962,1.1720325289207,0.114935290007188
ACH-001704,8.63563260608309,0.120367286694484,0.806049486861931,0.898006873949397,0.114935290007188
ACH-000935,1.73380393044667,0.697137352054487,-0.0122897720965341,0.266871115154022,0.114935290007188
ACH-000863,5.01098507400546,0.010843429460063,0.549798937554654,0.635260426314713,0.114935290007188
ACH-000986,12.3345034689417,0.121095999097357,0.552999199726873,0.904703143817578,0.114935290007188
ACH-000644,1.5944779097673,0.0138563849903177,0.387886217249508,0.529943649099731,0.114935290007188
ACH-000963,5.49982157649781,0.227687378386932,0.814581004669683,0.909677300577297,0.114935290007188
ACH-000957,1.14646024892775,0.00332070476798119,0.550684036201252,0.96453825299053,0.114935290007188
ACH-000615,6.6276343731244,0.0604741777964213,0.241413563244946,0.293186401586241,0.114935290007188
ACH-002263,0.571473658945397,0.027670251678235,0.131362024741521,0.795437127537614,0.114935290007188
ACH-000969,1.6707245362158,0.0270048755162976,0.651101379306786,1.01312547062142,0.114935290007188
ACH-000841,0.390006622711051,0.00116697976327594,0.352478298011346,0.641216044662946,0.114935290007188
ACH-000291,0.372617102445346,0.00123968467716286,0.040720287893104,0.463359970260014,0.114935290007188
ACH-000786,0.0465133540987595,3.7128236657454,0.89683178771122,1.07490521101231,0.114935290007188
ACH-000876,7.47221109258595,0.071184473346789,0.667552273391495,0.954960719487291,0.114935290007188
ACH-000008,4.97427316214229,0.0102960847630204,0.348838222813207,0.410724024207371,0.114935290007188
ACH-000965,5.16518752648054,0.0143163493181517,0.295610616980818,0.447048706629123,0.114935290007188
ACH-001002,5.17616991083658,0.293221594138312,0.136201784334318,0.229362209664171,0.114935290007188
ACH-000962,1.46562824407376,0.0288190562414005,0.533075561556921,0.791863213271854,0.114935290007188
ACH-000826,1.23715098887294,0.0285861038902636,0.519419423222088,0.695686406834144,0.114935290007188
ACH-000614,0.817152519206667,0.00193978082298246,0.408333278170187,0.676904335938405,0.114935290007188
ACH-000425,0.0479274460736742,0.047123347349697,0.0194411745592307,0.502891476620555,0.114935290007188
ACH-000191,0.492877118218772,0.000633580400218887,0.0501432208296343,0.557687096694729,0.114935290007188
ACH-002205,8.12220696913069,0.0759093662100441,0.468466747174889,0.72332620245577,0.114935290007188
ACH-002207,3.12322785579261,0.0343630775862748,0.142867067599054,0.179688579374816,0.114935290007188
ACH-000985,1.20016145986528,0.0417199526599884,0.279644297102269,0.56040570849943,0.114935290007188
ACH-000610,7.13758650800448,0.244489022946635,0.670658882549937,0.924069259512414,0.114935290007188
ACH-001350,0.598692057996743,0.0427530984847407,0.197794958093369,0.356099334201612,0.114935290007188
ACH-002312,0.922389750871578,0.184296490844879,0.363362197920077,0.751242665102992,0.114935290007188
ACH-000322,0.315692573861454,0.718811657011723,-0.069143045895183,0.443200688430977,0.114935290007188
ACH-000121,7.72984913469064,0.211562912341868,0.309531173044217,0.703804764637185,0.114935290007188
ACH-000626,0.332512354009153,0.00166612608187262,0.558607036750335,1.24666206594154,0.114935290007188
ACH-000822,5.43290813211308,0.014582874062491,0.344792651097622,0.368586095124606,0.114935290007188
ACH-002159,0.0870211770813827,0.0948745124208246,-0.141732482500175,0.498634365626006,0.114935290007188
ACH-000768,6.9913695111613,0.0563427410628754,0.352511622599658,0.659637746983067,0.114935290007188
ACH-000456,0.897379285906513,0.00312567729398812,0.328250613186262,1.01301127846579,0.114935290007188
ACH-000835,2.84770080864677,0.33054073285259,0.533165273344381,0.815469565190084,0.114935290007188
ACH-000450,0.788816174740704,0.000927602090008541,0.150210463907858,0.350546429628368,0.114935290007188
ACH-000572,0.63392474687863,0.000667257762422402,0.184635593610234,0.76779675512878,0.114935290007188
ACH-000327,1.4138920460846,0.062228057022282,0.597982798267053,0.896214574528389,0.114935290007188
ACH-000895,7.28000278605802,0.0532457930766412,0.180212473438337,0.241644107809111,0.114935290007188
ACH-000441,0.666721781305064,0.00147835354893505,0.0614253425078845,0.439592453082011,0.114935290007188
ACH-000401,7.6052804934091,0.131622467674604,0.84886955850847,0.934074612212156,0.114935290007188
ACH-000956,6.99608340932289,0.128183138510419,0.797111253333297,0.830040518472568,0.114935290007188
ACH-000988,1.45752789664722,0.0559379576856313,0.472776834184089,0.813273671708557,0.114935290007188
ACH-000200,7.16113683299068,0.241468281511057,0.454736831861244,0.6257009556966,0.114935290007188
ACH-000007,0.540928235175298,0.00356930452396993,0.0325455534974948,1.72370042217575,0.114935290007188
ACH-000890,1.03575934105162,0.000750750154656924,0.331941629334373,1.39125399781331,0.114935290007188
ACH-001274,0.0520141471213149,0.200687401065039,-0.534338040484583,1.44884680699019,0.114935290007188
ACH-002147,0.191101321552385,0.505414699575162,0.0405263494637529,0.400575786078986,0.114935290007188
ACH-000052,4.50269113097293,0.00204315094870992,0.652607076907185,2.58531103020338,0.114935290007188
ACH-002145,0.0312380250669915,0.0327643916208152,0.616077040922586,1.22853396386598,0.114935290007188
ACH-000448,1.18008391209616,0.00073834295976229,0.254072415986204,1.34850508081878,0.114935290007188
ACH-002162,0.0768527729967673,0.089349720911402,0.0919141379886849,0.142793673353529,0.114935290007188
ACH-000814,4.23002016427464,0.00276924921001763,0.470769684043036,0.844226892032332,0.114935290007188
ACH-000970,0.367951528532768,0.000914595322796456,0.369021341999013,1.27025545863303,0.114935290007188
ACH-002310,4.09194590374425,0.0220668935486999,0.342971149301801,0.450590618911241,0.114935290007188
